"time (hrs)"	"OD600"	"strain"	"medium"	"biorep"	"techrep"
23.5016666666667	0.347	"ura3"	"CM_uracil"	"A"	3
24.0016666666667	0.354	"ura3"	"CM_uracil"	"A"	3
24.5016666666667	0.361	"ura3"	"CM_uracil"	"A"	3
25.0016666666667	0.384	"ura3"	"CM_uracil"	"A"	3
25.5016666666667	0.381	"ura3"	"CM_uracil"	"A"	3
26.0016666666667	0.397	"ura3"	"CM_uracil"	"A"	3
26.5016666666667	0.413	"ura3"	"CM_uracil"	"A"	3
27.0016666666667	0.421	"ura3"	"CM_uracil"	"A"	3
27.5016666666667	0.433	"ura3"	"CM_uracil"	"A"	3
28.0016666666667	0.443	"ura3"	"CM_uracil"	"A"	3
28.5016666666667	0.461	"ura3"	"CM_uracil"	"A"	3
29.0016666666667	0.464	"ura3"	"CM_uracil"	"A"	3
29.5016666666667	0.465	"ura3"	"CM_uracil"	"A"	3
30.0016666666667	0.476	"ura3"	"CM_uracil"	"A"	3
30.5016666666667	0.49	"ura3"	"CM_uracil"	"A"	3
31.0016666666667	0.503	"ura3"	"CM_uracil"	"A"	3
31.5016666666667	0.503	"ura3"	"CM_uracil"	"A"	3
32.0016666666667	0.505	"ura3"	"CM_uracil"	"A"	3
32.5016666666667	0.52	"ura3"	"CM_uracil"	"A"	3
33.0016666666667	0.524	"ura3"	"CM_uracil"	"A"	3
33.5016666666667	0.535	"ura3"	"CM_uracil"	"A"	3
34.0016666666667	0.535	"ura3"	"CM_uracil"	"A"	3
34.5016666666667	0.545	"ura3"	"CM_uracil"	"A"	3
35.0016666666667	0.548	"ura3"	"CM_uracil"	"A"	3
35.5016666666667	0.554	"ura3"	"CM_uracil"	"A"	3
36.0016666666667	0.556	"ura3"	"CM_uracil"	"A"	3
36.5016666666667	0.578	"ura3"	"CM_uracil"	"A"	3
37.0016666666667	0.559	"ura3"	"CM_uracil"	"A"	3
37.5016666666667	0.584	"ura3"	"CM_uracil"	"A"	3
38.0016666666667	0.59	"ura3"	"CM_uracil"	"A"	3
38.5016666666667	0.579	"ura3"	"CM_uracil"	"A"	3
39.0016666666667	0.59	"ura3"	"CM_uracil"	"A"	3
39.5016666666667	0.594	"ura3"	"CM_uracil"	"A"	3
40.0016666666667	0.587	"ura3"	"CM_uracil"	"A"	3
40.5016666666667	0.6	"ura3"	"CM_uracil"	"A"	3
41.0016666666667	0.609	"ura3"	"CM_uracil"	"A"	3
41.5016666666667	0.596	"ura3"	"CM_uracil"	"A"	3
